id,title
1,由盛转衰的YY难“救”，国外业务能撑起欢聚时代吗？
2,中兴通讯：前三季度研发投入近108亿元 同比增长15.3%
3,重磅！中央明确：把科技自立自强作为战略支撑
4,苹果收复失地，从抵制拼多多淘宝们开始
5,2020中国互联网百强名单：阿里、腾讯、美团分列前三(附全榜单)
6,外界心中的谋局者、思辨者——马云
7,2.5亿人的空虚，又一片韭菜地？
8,YY之于百度，合适的才是完美的
9,美国社交巨头CEO出席听证会：民主和共和两党发出混杂信号
10,深度复盘中国半导体产业，错失黄金三十年
11,IPO前夕全球化战略转向？蚂蚁集团回复：不予置评
12,字节跳动发布独立教育品牌 提速追赶但未设具体KPI要求
13,美国将允许厂商向华为销售芯片，孟晚舟也有最新消息!华为迎转机?
14,加拿大边境服务局职员承认违法将孟晚舟手机密码交给警察
15,蚂蚁路演遭遇犀利追问 央行数字人民币会否对支付宝构成致命打击?
16,九号公司科创板上市：涨幅超100% 曾上演惊天蛇吞象
17,主机厂从制造商向出行服务商转型亟待破解盈利难题
18,京东健康辛利军：医疗健康行业正在加速数字化转型升级
19,蚂蚁集团上市前夕缩减海外投资，旨在稳固在中国的竞争优势
20,“硅谷教父”：技术推动世界繁荣
21,百位科学家云集，第三届世界顶尖科学家论坛10月30日开幕
22,领衔拍到人类首张黑洞照片的科学家将在第三届论坛诠释宇宙吸引力
23,索尼提高业绩展望 分析师表示“极其看好”发展前景
24,"探访世界顶尖科学家协会上海中心,领略“最强大脑”的风采"
25,杨元庆：科技应为今天的用户担当两大使命
26,蚂蚁上市，为何腾讯大涨 ？
27,齐聚61位诺贝尔奖得主!第三届世界顶尖科学家论坛即将在沪开幕
28,上海将迎“云端科学盛会” 两名新晋诺奖得主领衔顶尖科学家论坛
29,“科学天团”云聚上海，顶级智慧赋能创新策源
30,顶尖科学家大会“宇宙觅音” 探寻量子奥秘和“外星人”
31,抖音、快手抢跑港交所，短视频战火升级
32,与罗永浩“分手”后，锤子科技旧部今何在？
33,杭州拟立法禁止小区强制刷脸：刷脸不是业主义务
34,华为王成录：手机HarmonyOS开发者Beta版将如约而至
35,蚂蚁上市鹅厂先嗨了 腾讯市值两天暴涨3800亿港元！
36,蚂蚁上市腾讯暴涨：5.8万亿的腾讯被低估？真相是什么？
37,威马电动车因起火风险召回，电芯供应商为中兴通讯子公司
38,Spotify多事之秋，王牌节目再惹麻烦
39,T3出行将上线出租车服务，已在江苏、广东等地内测
40,港股史上最大冻资王：蚂蚁IPO香港全城疯抢 中银香港录得逾1000亿
41,"艾德证券期货：蚂蚁集团融资345亿美元,与PayPal相比还有上升空间"
42,封禁中国App 印度是封杀还是自杀？
43,投资圈中的“错过”之美：被大佬拒绝之后 他们成为了首富
44,北京市场监管局：直播平台要对带货经营者实人实名验证
45,熬夜使人肥胖，而肥胖反过来会促进失眠，陷入循环，无法自拔
46,三星三季度营业利润涨超50%，但疫情或致下季度盈利能力下降
47,5.25万亿颗塑料微粒漂浮在海洋上，也许就在你喝的水中
48,天问一号还要迈过几道关？火星探测难在哪？
49,在开挖金矿前，他们先要给25只濒危龙猫搬家
50,美股暴跌又曾放过谁 科技股泡沫预言家先知先觉
51,智慧移动能力“九号公司”成功上市 红杉中国为最大外部股东
52,晚期肝癌突破！T+A免疫联合治疗方案，在中国正式获批
53,含糖饮料换成代糖就更健康吗？心血管表示并没有！
54,熬夜的原因有很多，可能是因为拥有这个“夜猫子”基因突变……
55,中兴高能陷停产解散传闻，因电芯质量问题致威马汽车多次起火
56,想不起来自己的钱是怎么没的？是移动支付让你失忆了
57,TCL科技前三季度净利20亿元，投资并购超200亿元
58,九号公司科创板敲钟：开盘后涨超100% 市值270亿
59,这样喝奶，每天或吞下数百万颗微塑料，科学家尚不清楚后果是什么
60,这种小虫凭借“头铁”登上《自然》，汽车都压不死它
61,九号公司成功登陆科创板：开盘大涨超105% 成科创板CDR第一股
62,“剑桥分析丑闻”余波未平：Facebook或在英国面临起诉
63,奇迹降临？一片安眠药，唤醒了“沉睡”8年的病人
64,吸血鬼恐慌的诞生，从三百年前一具尸体被解剖开始......
65,改造中国工厂：制造业数字化转型需求催生一批创业公司
66,你怎么知道要尿了？其实有这个想法不简单...
67,华西口腔取消现场挂号：预约就诊时代，老年人该怎么看病？
68,奢侈品直播，是怎么套路你的？
69,OLED自发光电视护眼公益项目启动 改善青少年用眼健康
70,血荒江湖：写下《不用血保证》的医生，与卖血染上艾滋病的人们
71,冬天为啥容易感冒？事实没你想得那么简单
72,“极大”与“极小”｜诺奖得主：根本科学问题也是哲学问题
73,想让Wi-Fi快点？这些歪招儿都不行
74,数据战争：数据就是信息时代的石油
75,传百度年底在港二次上市 BAT有望再聚港交所
76,共享单车订单大增展现经济恢复新气象
77,金融时报 ：美国将允许厂商向华为非5G业务销售芯片
78,对科技巨头不满因党派而异 周三参议院听证会有哪些实质内容
79,花65亿元去小行星挖土值吗？专家：当然！而且意义重大
80,你的“脸”正在被交易
81,iPhone 12难逃“真香”定律 报道称将加单200万部
82,AMD收购赛灵思 半导体行业终极大乱斗来了？
83,深圳的数字货币“红包”试验，谁最受益？
84,“雪花飘飘、北风萧萧”是如何洗脑海外网友的？
85,双11买家心声：今年不仅考体力脑力 还要考我记忆力？|观潮
86,蚂蚁的野心和风险
87,彩电行业掀起高端突围战 用户聚焦社交娱乐与极致显示
88,iPhone12跌破发行价！经销商：办5G套餐能降1300多元
89,AMD难抵两大诱惑，350亿美元吞下赛灵思
90,为老年人提供更多数字服务的便利（金台锐评）
91,在线叫卖“钟汉良”“周迅”“王志文”高仿账号 580元起……
92,“谁把你选上来的？” 美国参议院科技听证会变政治争斗
93,蚂蚁集团上市，腾讯股价大涨？
94,AMD发布RX 6000系列显卡：对标英伟达RTX 3000
95,人体有多少器官？每颗牙齿都算一个器官吗？
96,八种不可思议的气味：太空带有辛辣的臭氧气味
